time,node,obj,bestbound
1.2847224705552e13,452.0,1135.25,1092.01
1.284722540637e13,454.0,1135.25,1092.01
1.2847226068537e13,455.0,1135.25,1092.01
1.2847226781753e13,456.0,1135.25,1092.01
1.284722752815e13,457.0,1135.25,1092.01
1.2847228282568e13,458.0,1135.25,1092.01
1.2847229034435e13,459.0,1135.25,1092.01
1.2847229882928e13,463.0,1135.25,1092.01
1.2847230705532e13,464.0,1135.25,1092.01
1.2847232152747e13,465.0,1135.25,1092.01
1.2847232923939e13,466.0,1135.25,1092.01
1.2847233553654e13,467.0,1135.25,1092.01
1.2847234304062e13,468.0,1135.25,1092.01
1.2847235303876e13,469.0,1135.25,1092.01
1.2847236185551e13,470.0,1135.25,1092.01
1.2847236953096e13,471.0,1135.25,1092.01
1.2847237846074e13,474.0,1133.94,1092.01
1.2847238510065e13,476.0,1133.94,1092.01
1.2847239573689e13,477.0,1133.94,1092.01
1.2847240694925e13,478.0,1133.94,1092.01
1.2847241428925e13,479.0,1133.94,1092.01
1.2847243140131e13,481.0,1133.94,1092.01
1.2847243967111e13,482.0,1133.94,1092.01
1.2847244797008e13,483.0,1133.94,1092.01
1.2847245539394e13,484.0,1133.94,1092.01
1.2847246327723e13,485.0,1133.94,1092.01
1.28472471733e13,486.0,1133.94,1092.01
1.2847248018146e13,487.0,1133.94,1092.01
1.2847248798454e13,488.0,1133.94,1092.01
1.2847249547403e13,489.0,1133.94,1092.01
1.2847250517318e13,490.0,1133.94,1092.01
1.2847251303459e13,491.0,1133.94,1092.01
1.2847252367084e13,495.0,1133.94,1092.01
1.2847253151402e13,496.0,1133.94,1092.01
1.284725387665e13,497.0,1133.94,1092.01
1.2847254697432e13,498.0,1133.94,1092.01
1.2847255401531e13,499.0,1133.94,1092.01
1.284725673717e13,500.0,1133.94,1092.01
1.28472576028e13,501.0,1133.94,1092.01
1.2847258364147e13,502.0,1133.94,1092.01
1.2847259084655e13,503.0,1133.94,1092.01
1.2847259822301e13,504.0,1133.94,1092.01
1.2847260547185e13,505.0,1133.94,1092.01
1.2847277520693e13,509.0,1133.94,1092.01
1.284727837575e13,510.0,1133.94,1094.14
1.284727938468e13,511.0,1133.94,1094.14
1.2847280462525e13,512.0,1133.94,1094.14
1.2847281204182e13,513.0,1133.94,1094.14
1.2847281991052e13,515.0,1133.94,1094.14
1.2847282769172e13,516.0,1133.94,1094.14
1.2847283516663e13,517.0,1133.94,1094.14
1.2847284354946e13,521.0,1133.94,1094.14
1.2847285681833e13,522.0,1133.94,1094.14
1.2847286568612e13,523.0,1133.94,1094.14
1.2847287350378e13,524.0,1133.94,1094.14
1.284728820507e13,525.0,1133.94,1094.14
1.2847288947456e13,528.0,1133.94,1094.14
1.2847289680362e13,529.0,1133.94,1094.14
1.2847291238424e13,532.0,1133.94,1094.14
1.284729207379e13,533.0,1133.94,1094.14
1.2847293349629e13,534.0,1133.94,1094.14
1.2847294108424e13,535.0,1133.94,1094.14
1.2847294918995e13,536.0,1133.94,1094.14
1.2847296117168e13,537.0,1133.94,1094.14
1.2847297783525e13,538.0,1133.94,1094.14
1.284729864551e13,539.0,1133.94,1094.14
1.2847299662097e13,540.0,1133.94,1094.14
1.2847300922257e13,541.0,1133.94,1094.14
1.2847301761635e13,542.0,1133.94,1094.14
