"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","Ypos"
1.3,2.45,2.85,-1.05,1.14,-2.82,3.77,-3.49,-4.17,6.62,18.09,0.74,1.08,0.4407757653,0.0015,0.0322,0.0453,0.0253,0.0252076774,0.000125,0,0.0086,-0.0046,0.0013067889,0,0.018483,0.01535,1.01
-0.97,-3.42,1.92,4.85,-4.84,-1.86,-2.75,-3.36,-7.56,1.43,17.92,0.75,1.11,0.4586663806,0.0038,0.0332,0.0468,0.0285,0.0335068293,0.0003166667,0.0070921986,-0.0411,-0.0114,0.0031144795,0,-0.003511,-0.006242,5.69
-8.78,-11.48,-10.36,-8.06,-9.38,-6.81,-10.66,-5.41,-10.07,-11.48,16.43,0.78,1.13,0.4906180065,0.0056,0.0342,0.0484,0.0284,0.0281072644,0.0004666667,0.0070422535,0.0039,0.0068,0.0054667794,0,-0.080646,-0.08149,1.3
-16.88,-21.96,-21.42,-19.22,-20.45,-10.68,-18.56,-12.57,-16.16,-19.13,13.76,0.77,1.22,0.5531474413,0.0031,0.0328,0.0516,0.0284,0.0358467256,0.0002583333,0.0068965517,0.0045,0.0025,0.0158211464,0.0033385337,-0.13961,-0.143683,7
-24.14,-32.72,-29.76,-28.2,-29.9,-22.98,-26.44,-16.34,-27.17,-30.81,8.5,0.78,0.97,0.8923698838,8e-04,0.0322,0.063,0.0273,0.0338481247,6.66667e-05,0,-0.0037,-0.0087,0.015067942,0.0029648264,-0.254106,-0.257951,6.44
17.16,21.86,21.61,18.46,22.48,16.12,18.64,13.63,21.86,21.28,9.7,0.7667,0.9033,0.7907934802,9e-04,0.033,0.0647,0.0259,0.0271633633,7.5e-05,0.0070921986,0.021,0.0138,0.0188927247,0.0041609632,0.142667,0.140966,4.36
23.78,40.26,37.71,28.52,33.88,19.91,30.15,15.38,23.75,27.47,11.56,0.74,0.77,0.659545862,5e-04,0.0326,0.0625,0.0259,0.0167466748,4.16667e-05,0,4e-04,0.0095,0.0118093088,0.0060859031,0.253519,0.249304,17.16
-6.59,-2.02,-4.94,-10.02,-3.95,-4.6,-5.49,-2.78,-8.89,-9.34,12.06,0.6867,0.67,0.6340202484,6e-04,0.0318,0.0549,0.0259,0.0143103239,5e-05,0,0,-0.0019,0.0059815684,0.0053420437,-0.025901,-0.029465,23.78
-2.38,-1.09,-0.89,-1.24,-0.78,-3,-1.11,-1.88,1.28,-2.82,12.24,0.66,0.62,0.6242488512,8e-04,0.0321,0.0565,0.0259,0.0118982151,6.66667e-05,0,0.0022,0.0109,0.0170467064,0.0061280147,0.016932,0.013867,12.62
-0.46,0.08,5.83,2.47,6.51,0.04,0.58,-0.2,3.59,4.74,13.21,0.51,0.64,0.5720393884,3e-04,0.0308,0.0527,0.0252,0.0057217127,2.5e-05,0,0.008,0.0122,0.0022909395,0.0041669638,0.04481,0.041538,11.12
1.69,0.39,-0.42,0.45,-0.33,3.34,0.37,-0.24,2.59,-1.75,10.92,0.5233,0.7267,0.6784545879,3e-04,0.0302,0.0515,0.0229,-0.0018831933,2.5e-05,-0.0071942446,0.0118,0.0064,0.0092032923,0.0041232361,-0.006611,-0.007842,4.02
-5.24,-11.31,-10,-6.24,-11.68,-7.47,-4.41,-3,-7.65,-10.2,10.86,0.53,0.76,0.6667687361,3e-04,0.0292,0.0491,0.0221,-8.63519e-05,2.5e-05,0,-0.0027,0.0035,0.0032023428,0.004162359,-0.06181,-0.065748,1.69
10.56,18.76,16.86,5.59,17.51,15.31,10.03,8.22,17.86,12.55,12.04,0.54,0.7767,0.6079854809,4e-04,0.0289,0.0484,0.0213,-0.0015621881,3.33333e-05,0,0.0113,-7e-04,0.0043046092,0.0036497651,0.11131,0.110355,6.31
36.35,38.69,41.45,71.54,21.99,9.92,13.36,14.89,9.54,55.43,13.02,0.56,0.81,0.5800479489,0.0014,0.0325,0.05,0.0278,-0.0021095516,0.0001166667,0.0217391304,-0.0545,0.0151,0.0156839071,0.0070891874,0.181167,0.177572,10.56
-5.63,-7.31,-9.2,-13.67,-5.24,0.06,-4.5,-3.33,-5.98,-10.61,12.2,0.6,0.87,0.5978447388,5e-04,0.03,0.0485,0.0236,-0.0016991367,4.16667e-05,0,0.0162,0.0079,0.0012842376,0.006625116,-0.040532,-0.051142,36.35
4.71,4.11,3.43,1.4,1.95,4.61,3.73,1.53,-2.07,1.51,12.13,0.6267,0.96,0.5943769619,2e-04,0.0286,0.0483,0.0228,0.0048402619,1.66667e-05,0.0071942446,0.0027,0.0021,0.0004895058,0.0054170362,0.013139,0.006917,3.03
-0.32,5.32,1.95,1,4.93,2.95,6.28,4.87,5.79,3.54,12.25,0.63,0.99,0.6479598753,2e-04,0.0284,0.048,0.0215,0.0056787088,1.66667e-05,0,0.0177,0.0049,0.0007091118,0.0050460313,0.013561,0.010518,1.2
3.21,-1.68,2.23,3.84,0.16,-1.64,-0.17,1.69,-3.52,-0.16,12.19,0.6367,1.0067,0.644074648,2e-04,0.0282,0.0474,0.022,0.0058486658,1.66667e-05,0,-0.0035,-0.0092,0.001192277,0.0028240977,-0.004478,-0.006231,4.71
4.87,8.05,5.42,6.96,3.94,9.79,7.95,3.69,30.29,6.11,9.98,0.65,1.04,0.7832213665,0.001,0.0296,0.0511,0.0227,0.0063697907,8.33333e-05,0.0071428571,0.0258,0.0121,0.0097970174,0.0035129471,0.083035,0.078208,3.21
1.51,4.63,2.87,0.49,6.07,2.2,2.83,-0.98,-1.92,1.14,10.56,0.6633,1.0667,0.7417752948,4e-04,0.0285,0.0476,0.0223,0.0090864626,3.33333e-05,0,0.0028,7e-04,0.0035608428,0.0035358124,0.035421,0.026631,4.87
1.98,7.12,5.34,3.09,3.11,1.53,3.97,4.44,-2.08,2.96,10.66,0.67,1.08,0.720747889,5e-04,0.0282,0.0466,0.0215,0.0096469388,4.16667e-05,0,0.011,0.0092,0.0029438369,0.0044783699,0.014221,0.010096,1.83
2.21,8.13,6.88,3.58,6.65,6.01,0.73,-0.18,10.32,4.25,11.08,0.67,1.07,0.7101998366,2e-04,0.0279,0.0456,0.0214,0.0094148326,1.66667e-05,0,0.0031,0.0049,0.0014650609,0.004567586,0.041468,0.04018,1.51
0.81,2.44,0.07,1.79,-3.03,-0.36,2.43,-0.49,-17.16,-1.67,10.61,0.67,1.06,0.7352149504,2e-04,0.0275,0.0448,0.0199,0.0101576525,1.66667e-05,0,0.0205,0.0063,0.005914211,0.0040822286,-0.029431,-0.042997,1.98
-2.04,-1.23,-0.22,-0.79,0.5,-1.7,-3.24,-0.68,-2.28,-4.66,10.58,0.67,1.05,0.7290475101,2e-04,0.0271,0.0445,0.0194,0.0125891885,1.66667e-05,0.0071428571,0.0067,-0.0023,0.0005078424,0.0042619728,0.002927,-0.00249,2.21
1.07,-4.9,-5.2,-3.11,-0.46,0.11,0.36,3.43,-2.48,8.53,10.07,0.6733,1.0533,0.7701603158,2e-04,0.0275,0.0438,0.0213,0.010853414,1.66667e-05,0,-0.0201,6e-04,0.0018551123,0.0036273185,-0.045555,-0.046847,0.81
2.17,-0.73,0.05,3.47,3.15,0.32,1.93,0.3,-7.77,4.02,9.96,0.68,1.06,0.8042698827,0.0011,0.028,0.0438,0.0206,0.010060575,9.16667e-05,0.0070921986,0.0096,-0.0022,0.0013646264,0.0018550226,0.008872,0.004173,1.07
