0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
6.945;-0.148131863;-0.191228056;-0.006749612;-1.347834145;-0.111679542;-0.287056817;-0.422186142;-0.108793147;-0.062660746;-0.247422786;-1.010732665;0.004582311;-0.399233761;-0.059101063;-0.407334634;-0.001026419;-0.001713425;0.000903958;-0.146015474;-0.026622215
7.273;-0.148131864;-0.183269221;-0.012397399;-1.355628905;-0.107541223;-0.28705677;-0.422186283;-0.108793156;-0.062660752;-0.247422909;-1.010732374;0.001860825;-0.399233921;-0.05477153;-0.407336035;-0.001025882;-0.001713366;-0.000387534;-0.146015462;-0.026622032
7.617;-0.148131862;-0.182165239;-0.014219793;-1.316158228;-0.10754165;-0.287056447;-0.422186294;-0.108793165;-0.062660764;-0.247422945;-1.010733191;-0.002569204;-0.399233927;-0.05090181;-0.407336079;-0.001025911;-0.001713389;-0.00038784;-0.146015491;-0.026622022
7.976;-0.148131863;-0.182563715;-0.014220167;-1.275540869;-0.107538257;-0.287056844;-0.422186276;-0.108793098;-0.062660765;-0.247422944;-1.010731102;-0.003036356;-0.399233737;-0.050881786;-0.407336072;-0.001025889;-0.001713411;-0.000388215;-0.146015464;-0.026622023
8.353;-0.148131858;-0.18342274;-0.014220167;-1.231403699;-0.107538201;-0.287056851;-0.422186251;-0.108793146;-0.062660766;-0.247422939;-1.010733217;-0.003036343;-0.399233899;-0.050882016;-0.407334854;-0.001025886;-0.001713413;-0.000388258;-0.146015463;-0.026622027
8.747;-0.148131865;-0.18474106;-0.014219903;-1.187502708;-0.10753835;-0.287056676;-0.422186285;-0.108793163;-0.062660767;-0.247422929;-1.010732456;-0.003036342;-0.399233928;-0.050881856;-0.4073361;-0.001025883;-0.00171343;-0.000388212;-0.146015502;-0.026622025
9.161;-0.148131863;-0.187148723;-0.014220168;-1.142954983;-0.107538222;-0.287056561;-0.422186296;-0.108793162;-0.062660767;-0.247422939;-1.010733221;-0.003036362;-0.39923392;-0.050881778;-0.40733613;-0.001025969;-0.001713403;-0.000388252;-0.146015463;-0.026622022
9.593;-0.148131863;-0.189746941;-0.014220168;-1.097415848;-0.10753841;-0.287056852;-0.422186295;-0.108793165;-0.062660767;-0.247422936;-1.010733114;-0.003036363;-0.39923393;-0.050881768;-0.407336132;-0.001025887;-0.001713423;-0.000388262;-0.146015496;-0.026622021
10.046;-0.148131863;-0.190933464;-0.014220168;-1.051418267;-0.107538258;-0.287056734;-0.422186297;-0.108793164;-0.062660767;-0.247422939;-1.010733079;-0.003036366;-0.399233913;-0.050881777;-0.407336069;-0.001025883;-0.001713426;-0.000388262;-0.146015462;-0.026622021
10.521;-0.148131863;-0.192316364;-0.014220154;-1.004655772;-0.107538219;-0.287056826;-0.422186297;-0.108793164;-0.062660767;-0.247422945;-1.01073305;-0.003036361;-0.399233922;-0.050881772;-0.407336126;-0.001025932;-0.001713423;-0.000388242;-0.146015462;-0.026622021
11.018;-0.148131862;-0.195314914;-0.014220167;-0.957462777;-0.107538204;-0.287056853;-0.422186297;-0.108793165;-0.062660767;-0.247422945;-1.010733218;-0.003036366;-0.3992339;-0.050881767;-0.407336127;-0.001025882;-0.00171343;-0.00038826;-0.146015463;-0.026622021
11.538;-0.148131862;-0.200039946;-0.014220091;-0.906700929;-0.107538206;-0.28705685;-0.422186294;-0.108793165;-0.062660767;-0.247422944;-1.010733221;-0.003036364;-0.399233921;-0.050881766;-0.407335649;-0.001025929;-0.00171343;-0.00038826;-0.146015462;-0.026622023
12.083;-0.14813188;-0.20300281;-0.014220163;-0.845525289;-0.107538203;-0.287056843;-0.422186297;-0.108793144;-0.062660767;-0.247422944;-1.010733066;-0.003036366;-0.399233928;-0.050881766;-0.407336141;-0.001025882;-0.001713426;-0.000388203;-0.146015462;-0.026622021
